id track,name,popularity,duration ms,explicit,artists,id artists,release date,release year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time signature,artist id 1,artist id 1 followers,artist id 1 genres,artist id 1 popularity,artist id 2,artist id 2 followers,artist id 2 genres,artist id 2 popularity,artist id 3,artist id 3 followers,artist id 3 genres,artist id 3 popularity,artist id 4,artist id 5,artist id 6,artist id 7,artist id 8,artist id 9,artist id 10,artist id 11,artist id 12,artist id 13,artist id 14,artist id 15,artist id 16,artist id 17,artist id 18,artist id 19,artist id 20,artist id 21,artist id 22,artist id 23,artist id 24,artist id 25,artist id 26,artist id 27,artist id 28,artist id 29,artist id 30,artist id 31,artist id 32,artist id 33,artist id 34,artist id 35,artist id 36,artist id 37,artist id 38,artist id 39,artist id 40,artist id 41,artist id 42,artist id 43,artist id 44,artist id 45,artist id 46,artist id 47,artist id 48,artist id 49,artist id 50,artist id 51,artist id 52,artist id 53,artist id 54,artist id 55,artist id 56,artist id 57,artist id 58,artist 1,artist 2,artist 3,artist 4,artist 5,artist 6,artist 7,artist 8,artist 9,artist 10,artist 11,artist 12,artist 13,artist 14,artist 15,artist 16,artist 17,artist 18,artist 19,artist 20,artist 21,artist 22,artist 23,artist 24,artist 25,artist 26,artist 27,artist 28,artist 29,artist 30,artist 31,artist 32,artist 33,artist 34,artist 35,artist 36,artist 37,artist 38,artist 39,artist 40,artist 41,artist 42,artist 43,artist 44,artist 45,artist 46,artist 47,artist 48,artist 49,artist 50,artist 51,artist 52,artist 53,artist 54,artist 55,artist 56,artist 57,artist 58
000q9YBtesW8yPwlmus12C,Undrastrákurinn Óli,3,178515,0,['Þrjú á palli ásamt Sólskinskórnum'],['1OxALTjNea16L7SSbbdntA'],1/1/1975,1975,0.715,0.254,5,-15.459,1,0.0343,0.878,0,0.0867,0.559,94.205,4,1OxALTjNea16L7SSbbdntA,6,['barnalog'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Þrjú á palli ásamt Sólskinskórnum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000RDCYioLteXcutOjeweY,Teeje Week,54,190203,0,['Jordan Sandhu'],['3TozxPbDes76aGFdfv7PMv'],2/12/2018,2018,0.679,0.77,0,-3.537,1,0.19,0.0583,0,0.0825,0.839,161.721,4,3TozxPbDes76aGFdfv7PMv,588193,"['desi pop', 'punjabi pop']",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jordan Sandhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000TiSS4vK5su0MkoFyQbd,Tenebre,44,159250,0,"['Sercho', 'Ultimo']","['1YzDKK9gJRBqqkL5wxQQTa', '3hN3iJMbbBmqBSAMx5veDa']",12/22/2017,2017,0.72,0.646,6,-7.691,0,0.106,0.237,0,0.127,0.0958,80.013,4,1YzDKK9gJRBqqkL5wxQQTa,100894,[],44,3hN3iJMbbBmqBSAMx5veDa,2313612,"['italian adult pop', 'italian pop']",69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sercho,Ultimo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000TXa2oEZLYfQGPCiv23U,Casanova,6,243200,0,['Buzstop'],['6FGFqtiMlC2k7ndP4yKtZJ'],1982,1982,0.61,0.91,6,-10.981,1,0.043,0.0606,0.0828,0.148,0.775,129.639,4,6FGFqtiMlC2k7ndP4yKtZJ,80,[],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buzstop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000u1dTg7y1XCDXi80hbBX,I Don't Want A Lover,58,300600,0,['Texas'],['5JsdVATHNPE0XdMFMRoSuf'],1/1/1989,1989,0.756,0.47,7,-12.615,1,0.0394,0.196,0.000487,0.126,0.43,120.484,4,5JsdVATHNPE0XdMFMRoSuf,333514,"['dance pop', 'europop', 'new wave pop', 'pop rock', 'scottish rock']",61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000x2qE0ZI3hodeVrnJK8A,(Love Me Like Music) I'll Be Your Song,37,200627,0,['Heart'],['34jw2BbxjoYalTp8cJFCPv'],1975,1975,0.507,0.356,0,-14.24,1,0.0306,0.339,0,0.18,0.472,134.248,4,34jw2BbxjoYalTp8cJFCPv,1589270,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'new wave pop', 'pop rock', 'rock', 'soft rock']",71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000xYdQfIZ4pDmBGzQalKU,"Eu, Você, O Mar e Ela",53,187119,0,['Luan Santana'],['3qvcCP2J0fWi0m0uQDUf6r'],11/4/2016,2016,0.509,0.803,0,-6.743,1,0.04,0.684,0.000539,0.463,0.651,166.018,4,3qvcCP2J0fWi0m0uQDUf6r,5200845,"['funk carioca', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']",73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luan Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000ydDsz4ijCNUsmoIeZcj,El Cachimbo,13,98667,0,['Conjunto Folklórico De Santiago'],['3XDaQwqzE0E8hb1qlDvvrg'],9/22/1978,1978,0.637,0.353,1,-13.978,0,0.039,0.233,8.44E-06,0.102,0.662,139.209,3,3XDaQwqzE0E8hb1qlDvvrg,38,[],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Conjunto Folklórico De Santiago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000ZxLGm7jDlWCHtcXSeBe,Torpedo Juice,3,314667,0,"['Meade ""Lux"" Lewis']",['7MiRMD4od8lrhJ8sd0etP0'],1/1/1954,1954,0.685,0.483,2,-10.202,0,0.0337,0.795,0.878,0.113,0.854,97.694,4,7MiRMD4od8lrhJ8sd0etP0,3119,"['boogie-woogie', 'piano blues', 'stride']",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Meade ""Lux"" Lewis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00105Q1NbnHkf8R5eXXeXm,Es un Secreto,44,234067,0,"['Plan B', 'Tego']","['2jSGzJw0ebJLu7OLVSOcBP', '57FjeBC6mWQve5Plncj5CU']",8/23/2011,2011,0.777,0.832,6,-3.982,0,0.0403,0.334,1.08E-05,0.0765,0.72,94.964,4,2jSGzJw0ebJLu7OLVSOcBP,1260058,"['latin', 'reggaeton', 'trap latino', 'tropical']",76,57FjeBC6mWQve5Plncj5CU,1307,[],43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plan B,Tego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
